OBJECTID,Borough,Unique_Asset_ID,Holding_Name,Address,Post_Code,Sub_Unit,UPRN,Description,Occupied_by_MPS,Land_Buildings,Asset_Category,Tenure,Site_Area_Hectares,Building_Area_GIA_sqm,Building_Area_NIA_sqm,Easting,Northing,Field18,Field19,Field20,Field21,Field22,Field23,Field24,Field25,Field26,Occupied_by,Built_out
60,Camden,280,HOLBORN POLICE STATION HQ OFFICES & ARO,HOLBORN POLICE STATION HQ OFFICES 70 THEOBALDS PLACE 10 LAMBS CONDUIT STREET .,WC1N 3NR,,,POLICE STATION,Yes,Land & buildings ,Operational asset,LLH,0.16,11139,0,530705,181884,,,,,,,,,,,
61,Camden,486,KENTISH TOWN POLICE STATION,KENTISH TOWN POLICE STATION 10-12A HOLMES ROAD . KENTISH TOWN,NW5 3AE,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.37,2716,0,528907,185056,,,,,,,,,,,
62,Camden,6615,KENTISH TOWN ROAD 99 BASEMENT AND GROUND FLOOR,BASEMENT AND GROUND FLOOR 99 KENTISH TOWN ROAD . .,NW1 8PB,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,125,0,528951,184412,,,,,,,,,,,
63,Camden,5518,ST PANCRAS INT STN BASEMENT PART,METROPOLITAN POLICE OFFICES ST PANCRAS INTERNATIONAL STATION PANCRAS ROAD .,NW1 2QP,,,OFFICE,Yes,Land & buildings ,Operational asset,LH,,0,0,530112,182951,,,,,,,,,,,
64,Camden,6721,WEST END LANE 179-181 GROUND & LOWER GROUND FLOOR,179 WEST END LANE . . WEST HAMPSTEAD,NW6 2LH,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,121,0,525507,184597,,,,,,,,,,,
65,Camden,595,WEST HAMPSTEAD POLICE STATION,WEST HAMPSTEAD POLICE STATION 21 FORTUNE GREEN ROAD . .,NW6 1DX,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.23,2051,0,525166,185409,,,,,,,,,,,
66,Croydon,807,ADDINGTON POLICE STATION,ADDINGTON POLICE STATION ADDINGTON VILLAGE ROAD . CROYDON,CR0 5AQ,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,,716,0,537020,163850,,,,,,,,,,,
67,Croydon,6682,CENTRAL PARADE 42 GROUND FLOOR,42 CENTRAL PARADE . ADDINGTON CROYDON,CR0 0JD,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,130,0,538421,162110,,,,,,,,,,,
68,Croydon,818,CROYDON BOROUGH CUSTODY CENTRE,CROYDON CUSTODY CENTRE 90 WINDMILL ROAD . WEST CROYDON,CRO 2XP,,,CUSTODY CENTRE,Yes,Land & buildings ,Operational asset,FH,0.65,3036,0,532354,166873,,,,,,,,,,,
69,Croydon,801,CROYDON POLICE STATION,CROYDON POLICE STATION 71 PARK LANE . CROYDON,CR9 1BP,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.48,8365,0,532637,165258,,,,,,,,,,,
70,Croydon,6726,LONDON ROAD 1342-1344 GROUND FLOOR,GROUND FLOOR 1342-1344 LONDON ROAD . NORBURY,SW16 4DG,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,220,0,530743,169373,,,,,,,,,,,
71,Croydon,6685,PARCHMORE ROAD 2-4 GROUND FLOOR,GROUND FLOOR 2-4 PARCHMORE ROAD THORNTON HEATH CROYDON,CR7 8LU,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,235,0,532352,168462,,,,,,,,,,,
72,Croydon,7500,WEST CROYDON BUS STATION ROOM ONLY,WEST CROYDON BUS STATION room only CROYDON CROYDON,CR0 2RB,,,SAFER TRANSPORT,Yes,Land & buildings ,Operational asset,LH,,,0,532233,166153,,,,,,,,,,,
73,Croydon,6589,WHYTECLIFFE ROAD SOUTH 9 & 11 PURLEY,9 & 11 WHYTECLIFFE ROAD SOUTH . PURLEY CROYDON,CR8 2AY,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,265,0,531395,161555,,,,,,,,,,,
74,Ealing,610,ACTON POLICE STATION,ACTON POLICE STATION 250 HIGH STREET . ACTON,W3 9BH,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.3,3790,0,519824,180268,,,,,,,,,,,
75,Ealing,6580,ASHBOURNE PARADE 12 GROUND FLOOR,12 ASHBOURNE PARADE EALING,W5 3QS,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,163,0,518574,182491,,,,,,,,,,,
76,Ealing,617,EALING POLICE STATION,EALING POLICE STATION 67-69 UXBRIDGE ROAD . EALING,W5 5SJ,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,1.9,2140,0,517368,180587,,,,,,,,,,,
77,Ealing,710,GREENFORD POLICE STATION,GREENFORD POLICE STATION 21 OLDFIELD LANE . GREENFORD,UB6 9LQ,,,POLICE STATION,Yes,Land & buildings ,Subject to disposal process,FH,0.13,314,0,514194,182439,,,,,,,,,,,
78,Ealing,6729,NORTHOLT LEISURE CENTRE,NORTHOLT LEISURE CENTRE EASTCOTE LANE NORTH NORTHOLT .,UB5 4AB,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,85,0,513160,184614,,,,,,,,,,,
79,Ealing,619,PERCEVAL HOUSE,PERCEVAL HOUSE 14-16 UXBRIDGE ROAD . EALING,W5 2HL,,,POLICE OFFICE,Yes,Land & buildings ,Operational asset,LH,,,0,517446,180732,,,,,,,,,,,
80,Ealing,154,ROWDELL ROAD (MOTOR REPAIR DEPOT),NORTHOLT MOTOR REPAIR DEPOT ROWDELL ROAD . NORTHOLT,UB5 5QP,,,WORKSHOP,Yes,Land & buildings ,Operational asset,FH,2.03,13231,0,513629,184080,,,,,,,,,,,
81,Ealing,6638,SAINSBURY'S MELBOURNE AVENUE 2-14 PART FIRST FLR,SAINSBURY'S SUPERMARKET 2-14 MELBOURNE AVENUE WEST EALING .,W13 9BZ,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,85,0,515350,180322,,,,,,,,,,,
82,Ealing,6657,SOUTH EALING ROAD 180,180 SOUTH EALING ROAD . . EALING,W5 4RJ,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,105,0,517697,178937,,,,,,,,,,,
83,Ealing,630,SOUTHALL POLICE STATION,SOUTHALL POLICE STATION 67 HIGH STREET . SOUTHALL,UB1 3HF,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.28,3479,0,513068,180372,,,,,,,,,,,
84,Ealing,6597,TAYWOOD ROAD 30 UNIT C5 GROUND FLOOR,GROUND FLOOR UNIT C5 30 TAYWOOD ROAD NORTHOLT,UB5 6GB,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,85,0,512575,182476,,,,,,,,,,,
85,Ealing,919,THE BILTON CENTRE,WALMGATE ROAD PERIVALE . EALING,UB6 7LR,,,WAREHOUSE,Yes,Land & buildings ,Operational asset,LH,,645,0,516692,183608,,,,,,,,,,,
86,Enfield,753,EDMONTON POLICE STATION,EDMONTON POLICE STATION 462 FORE STREET . EDMONTON,N9 0PW,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.34,5942,0,534321,193271,,,,,,,,,,,
87,Enfield,772,ENFIELD POLICE STATION,ENFIELD POLICE STATION 41 BAKER STREET . ENFIELD,EN1 3EU,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.19,2106,0,532903,196920,,,,,,,,,,,
88,Enfield,921,GREAT CAMBRIDGE INDUSTRIAL EST UNITS 17 18 19,GREAT CAMBRIDGE INDUSTRIAL ESTATE UNITS 17 18 19 LINCOLN RD ENFIELD,EN1 1SH,,,PATROLBASE,Yes,Land & buildings ,Operational asset,LH,,3712,0,534460,195550,,,,,,,,,,,
89,Enfield,6694,HERTFORD ROAD 864-866 GROUND FLOOR & PT FRONT W/HO,864-866 HERTFORD ROAD FREEZYWATER . ENFIELD,EN3 6UD,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,85,0,535991,199574,,,,,,,,,,,
90,Enfield,774,SOUTHGATE POLICE STATION,SOUTHGATE POLICE STATION 25 CHASE SIDE . SOUTHGATE,N14 5BW,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.11,1940,0,529562,194316,,,,,,,,,,,
91,Greenwich,551,ANGERSTEIN CENTRE,THE ANGERSTEIN CENTRE BRAMSHOT AVENUE . CHARLTON,SE7 7HY,,,WAREHOUSE,Yes,Land & buildings ,Operational asset,LH,,5221,0,540499,177747,,,,,,,,,,,
92,Greenwich,544,ELTHAM POLICE STATION,ELTHAM POLICE STATION 20 WELL HALL ROAD . ELTHAM,SE9 6SF,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.17,2183,0,542704,174530,,,,,,,,,,,
93,Greenwich,907,GREENWICH PARK POLICE OFFICE,BLACKHEATH GATE LODGE GREENWICH PARK . GREENWICH,SE10 8QY,,,POLICE OFFICE,Yes,Land & buildings ,Operational asset,LH,,176,0,538991,176706,,,,,,,,,,,
94,Greenwich,6680,JOYCE DAWSON WAY 11 THAMESMEAD,11 JOYCE DAWSON WAY . . THAMESMEAD,SE28 8RA,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,148,0,546328,180754,,,,,,,,,,,
95,Greenwich,6707,LAKEDALE ROAD 49,GROUND FLOOR 49 LAKEDALE ROAD PLUMSTEAD,SE18 1PR,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,192,0,545280,178459,,,,,,,,,,,
96,Greenwich,552,PLUMSTEAD POLICE STATION,PLUMSTEAD POLICE STATION 200 PLUMSTEAD HIGH STREET . PLUMSTEAD,SE18 1JY,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.28,3575,0,545608,178479,,,,,,,,,,,
97,Greenwich,930,WARSPITE ROAD UNIT 9 MELLISH IND ESTATE,WARSPITE ROAD UNIT 9 MELLISH INDUSTRIAL ESTATE RUSTON ROAD GREENWICH,SE18 5NU,,,PATROLBASE,Yes,Land & buildings ,Operational asset,LH,,4316,0,542019,179245,,,,,,,,,,,
98,Greenwich,6687,WILLIAM BAREFOOT DRIVE 60 (PART),60 WILLIAM BAREFOOT DRIVE LONDON,SE9 3HU,,,SAFER NEIGHBOUR,YES,Land & buildings ,Operational asset,LH,,103,0,546319,180686,,,,,,,,,,,
99,Hackney,6575,HAGGERSTON ROAD 220,220 HAGGERSTON ROAD . . HACKNEY,E8 4HT,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,78,0,533776,183950,,,,,,,,,,,
100,Hackney,6537,HOMERTON UNIVERSITY HOSPITAL GROUND FLOOR,HOMERTON UNIVERSITY HOSPITAL HOMERTON GROVE . HACKNEY,E9 6SR,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,85,0,535570,185336,,,,,,,,,,,
101,Hackney,6712,SHACKLEWELL LANE 17-19 GROUND FLOOR,17-19 SHACKLEWELL LANE . SHACKLEWELL HACKNEY,E8 2BY,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,239,0,533659,185322,,,,,,,,,,,
102,Hackney,324,SHOREDITCH POLICE STATION,SHOREDITCH POLICE STATION 4-6 SHEPHERDESS WALK . SHOREDITCH,N1 7LF,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.29,3045,0,532483,182827,,,,,,,,,,,
103,Hackney,490,STOKE NEWINGTON POLICE STATION,STOKE NEWINGTON POLICE STATION 33 STOKE NEWINGTON HIGH STREET . STOKE NEWINGTON,N16 8DS,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.55,9526,0,533557,186062,,,,,,,,,,,
104,Hackney,6711,URBAN HIVE 16A GROUND FLOOR THEYDON ROAD,GROUND FLOOR 16A URBAN HIVE THEYDON ROAD UPPER CLAPTON,E5 9BQ,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,125,0,535164,186953,,,,,,,,,,,
