OBJECTID,Borough,Unique_Asset_ID,Unique_Asset_ID_X,Unique_Asset_ID_Y,Holding_Name,Address,Post_Code,Sub_Unit,UPRN,Description,Occupied,Land_Building,Asset_Category,Tenure,Site_Area_Hectares,Building_Area_GIA_sqm,Site_Area_Hectares_1,Easting,Northing
53,Lewisham,10/00000569,,,Off Doggett Rd & Catford Hill,Off Doggett Rd & Catford Hill,SE6 4RH,Network Rail Site,N/A,Residential development where the GLA is working with Barratt Homes,No,Land only,Subject to disposal process,FH,1.47,0,,537342,173747
54,Westminster,10/00000570,,,19-25 Broadwick Street,"Trenchard House, 19-25 Broadwich Street, London",W1V 1FQ,Trenchard House,N/A,Residential development where the GLA is working with Barratt Homes,No,Land & buildings,Subject to disposal process,FH,0.14,0,,529473,181030
55,Newham,08/026,26,8,Armada 2,"Atlantis Avenue, London",E16 2BF,,N/A,Development site. Part safeguarded for potential Thames crossing,No,Land only,Saleable asset,FH,3.33,0,,544216,180927
56,Newham,04/022,22,4,Stephenson Street  (Ex Parcelforce),"Stephenson Street, West Ham, London",E16 4SB,,N/A,Major development site. Mainly freehold but part long leasehold. GLA working with the Berkeley Group.,No,Land only,Subject to disposal process,FH and LLH,10.63,0,,538993,182673
57,Newham,08/022,22,8,Gallions Quarter,"Armada Way, Royal Docks, London",E16 2QL,,N/A,Major development site. GLA working with Notting Hill Housing Trust.,No,Land only,Subject to disposal process,FH,3.3,0,,543961,180817
58,Newham,08/037,37,8,Gallions 3B,"Atlantis Avenue, London",E16 2BF,,N/A,Development site,No,Land only,Subject to disposal process,FH,0.56,0,,544370,180774
59,Newham,08/039,39,8,Gallions 4,"Gallions Roundabout, Royal Docks Road, London",E16 7AB,,N/A,Development site,No,Land only,Saleable asset,FH,1.15,0,,543836,181026
60,Newham,08/038,38,8,Armada Green Recreation Area,"Atlantis Avenue, London",E16 2BF,,N/A,Amenity land,No,Land only,Limited marketability,FH,0.57,0,,544399,180846
61,Barking and Dagenham,09/009/0001,,,LSIP South,"Halyard Street, Dagenham Dock, Dagenham, Essex",RM9 6LF,Plot 7a,N/A,London Sustainable Industries Park. Reversionary interest,Yes,Land only,Investment ,FH,2.023,0,,548373,182406
62,Barking and Dagenham,09/009/0002,,,LSIP South,"Halyard Street, Dagenham Dock, Dagenham, Essex",RM9 6LF,Plot 7b,N/A,"London Sustainable Industries Park. Forms part of East Plus, a partnership between the GLA and Segro.",No,Land only,Subject to disposal process,FH,1.9,0,,548380,182290
63,Barking and Dagenham,09/009/0003,,,LSIP South,"Hindmans Way, Dagenham Dock, Dagenham, Essex",RM9 6LF,Plot 8,N/A,"London Sustainable Industries Park. Forms part of East Plus, a partnership between the GLA and Segro.",No,Land only,Subject to disposal process,FH,0.59,0,,548530,182245
64,Barking and Dagenham,09/009/0004,,,LSIP South,"Hindmans Way, Dagenham Dock, Dagenham, Essex",RM9 6LF,Plot 9,N/A,"London Sustainable Industries Park. Forms part of East Plus, a partnership between the GLA and Segro.",Yes - part only,Land only,Subject to disposal process,FH,0.98,0,,548482,182103
65,Barking and Dagenham,09/009/0005,,,LSIP South,"Choats Road, Dagenham Dock, Dagenham, Essex",RM9 6LF,Plot 10,N/A,"London Sustainable Industries Park. Forms part of East Plus, a partnership between the GLA and Segro.",No,Land only,Subject to disposal process,FH,1.65,0,,548134,182590
66,Barking and Dagenham,09/010/0001,,,LSIP North,"Reef Street, Dagenham Dock, Dagenham, Essex",RM9 6LF,Plot 1,N/A,"London Sustainable Industries Park. Forms part of East Plus, a partnership between the GLA and Segro.",No,Land only,Subject to disposal process,FH,0.727,0,,548165,182882
67,Barking and Dagenham,09/010/0002,,,LSIP North,"Clove Street, Dagenham Dock, Dagenham, Essex",RM9 6LF,Plot 2,N/A,London Sustainable Industries Park. Reversionary interest,No,Land only,Investment ,FH,3.33,0,,548402,182890
68,Barking and Dagenham,09/010/0003,,,LSIP North,"Halyard Street, Dagenham Dock, Dagenham, Essex",RM9 6LF,Plot 3,N/A,"London Sustainable Industries Park. Forms part of East Plus, a partnership between the GLA and Segro.",Yes,Land only,Subject to disposal process,FH,1.47,0,,548493,182761
69,Barking and Dagenham,09/010/0004,,,LSIP North,"Halyard Street, Dagenham Dock, Dagenham, Essex",RM9 6LF,Plot 4,N/A,"London Sustainable Industries Park. Divided into 6 small 'incubator plots' of which 1 occuped, 1 interim let, and 4 plots are being marketed.",Yes - part only,Land & buildings,Saleable asset,FH,0.36,0,,548434,182652
70,Barking and Dagenham,09/010/0005,,,LSIP North,"Reef Street, Dagenham Dock, Dagenham, Essex",RM9 6LF,Plot 5,N/A,London Sustainable Industries Park. Reversionary interest,Yes,Land only,Investment ,FH,2.73,0,,548302,182727
71,Barking and Dagenham,09/010/0006,,,Dagenham Dock,"off Choats Road, Dagenham Dock, Dagenham, Essex",RM9 6LF,Infrastructure,N/A,London Sustainable Industries Park. Part developed. Unoccupied.,No,Land only,Limited marketability,FH,,0,,548472,182618
72,Havering,03/003/0004,,,Beam Park,"Thames Avenue, New Road, Dagenham, Essex",RM9 6DE,Plot 4,N/A,Major regeneration site. Undeveloped. GLA are working with Countryside Properties (UK) Ltd and London & Quadrant Housing Trust,Yes,Land only,Subject to disposal process,FH,2.3,0,,549546,183225
73,Barking and Dagenham,09/002/0001,,,CIQ Phase 1,"Barking Creative Industries Quarter, Abbey Road, Barking",IG11 7BT,,N/A,Reversionary interest in mixed development,No,Land & buildings,Subject to disposal process,FH,0.69,0,,544110,183449
74,Barking and Dagenham,09/002/0002,,,CIQ Phase 2,"Barking Creative Industries Quarter, Abbey Road, Barking",IG11 7BT,,N/A,Reversionary interest in residential development,No,Land & buildings,Subject to disposal process,FH,0.38,0,,544129,183383
75,Barking and Dagenham,10/00000560,,,Dagenham,"Lymington Road, Dagenham, London",RM8 1PP,Lymington Fields,N/A,Residential development site. GLA working with Lovells,No,Land & buildings,Subject to disposal process,FH,8.66,0,,548381,187256
76,Tower Hamlets,10/00003082,,,St Clements Hospital,"Mile End Road, london",E3 4LH,St Clements Hospital,N/A,Residential development site. GLA working with Linden Homes,No,Land & buildings,Subject to disposal process,FH,1.85,0,,536827,182533
77,Tower Hamlets,10/00003072,,,Hackney Road,"Hackney Road, London",E2 8PS,Queen Elizabeth Hospital,N/A,Residential development site. GLA working with Family Mosaic,No,Land & buildings,Subject to disposal process,FH,0.63,0,,534281,183221
78,Newham,04/002,2,4,Silvertown Way,"Silvertown Way, Canning Town, London",E16 1DA,,N/A,Major development site. GLA are working with Galliford Try.,Yes,Land only,Subject to disposal process,FH,2.56,0,,539640,181075
79,Newham,08/005/0001,,,Royals Business Park,"Royal Albert Way, London",E16 2QU,Royal Albert Dock,N/A,Major commercial regeneration site. Part developed. ,Yes,Land & buildings,Subject to disposal process,FH,12.32,2126,,542694,180778
80,Newham,08/005/0002,,,Royals Business Park,"Royal Albert Way, London",E16 2QD,Infrastructure,N/A,Major commercial regeneration site. Part developed,No,Land only,Limited marketability,FH,1.52,0,,542177,180777
81,Newham,08/005/0003,,,Royals Business Park,"Royal Albert Way, London",E16 2QU,Building 1000,N/A,GLA is the freeholder. Site is let to Newham who's HQ is located on the site,Yes,Land & buildings,Saleable asset,FH,1.18,0,,542186,180744
82,Newham,08/005/0004,,,Royals Business Park,"Royal Albert Way, London",E16 2QD,Compressor House & Land,N/A,Building let to ABP until 2022,Yes,Land & buildings,Subject to disposal process,FH,1.48,758,,542050,180830
83,Newham,08/005/0008,,,Royals Business Park,"Royal Albert Way, London",E16 2QD,Plot 4,N/A,Major commercial regeneration site. Part developed. GLA working with APB,No,Land only,Subject to disposal process,FH,0.64,0,,542004,180748
84,Newham,08/005/0009,,,UEL Extension,"Royal Albert Way, London",E16 2QD,,N/A,Plot split into 3. One sold long lease to ESFA and school being built. 2 other plots not drawn down (but subject to options),Yes,Land only,Subject to disposal process,FH,1.63,0,,543092,180766
85,Greenwich,10/00000580,,,Greenwich District Hospital,"Vanbrugh Hill, Greenwich",SE10 0DG,Greenwich District Hospital,N/A,Residential development site. GLA working with Hadley Mace,Yes - part only,Land & buildings,Subject to disposal process,FH,2.81,0,,539601,178184
86,Croydon,10/00000591,,,Lion Green Road,"Sovereign House, Lion Green Road, Coulsdon, Surrey",CR5 2NL,Sovereign House,N/A,Delapidated building,No,Land & buildings,Subject to disposal process,FH,0.31,0,,529639,159428
87,Croydon,10/HS600600,,,"Cane Hill, Coulsdon, South Croydon","Cane Hill, Coulsdon, South Croydon",CR5 3YL,Cane Hill Hospital,N/A,Residential development site. GLA working with with Barratt Homes,Yes - part only,Land only,Subject to disposal process,FH,82.36,0,,529219,158671
88,Newham,08/007,7,8,"UEL Phases 1,2 & 3","Docklands Campus, University Way, London",E16 2RD,,N/A,Reversonary interest in educational facility,No,Land & buildings,Saleable asset,FH,10.02,0,,543471,180747
89,Southwark,10/00000566,,,London Park Hotel,"86-88 Newington Butts, London",SE11 4QU,86-88 Newington Butts,N/A,Major residential development site in Elephant and Castle. GLA is working with Mace,Yes,Land only,Subject to disposal process,FH,0.43,0,,531799,178793
90,Southwark,10/00000567,,,Off Churchyard Road,"Off Churchyard Road, Newington Butts",SE11 4QU,Supplementary Land At Newington,N/A,Major residential development site in Elephant and Castle. GLA is working with Mace,Yes,Land only,Subject to disposal process,LLH,0.06,0,,531807,178791
91,Tower Hamlets,10/00003073,,,St Matthias Centre,"Bullivant Street, London",E14 0ER,St Matthias Centre,N/A,Residential development site. GLA working with Swan Housing Association,No,Land & buildings,Subject to disposal process,LLH,0.41,0,,538196,180964
92,Tower Hamlets,10/00003145,,,Naval Row,"Prestage Works, Prestage Way, London",E14 4QE,"304-314,318-320 Poplar High St",N/A,Residential development site. GLA working with Swan Housing Association,Yes,Land & buildings,Subject to disposal process,FH,1.1,0,,538439,180744
93,Tower Hamlets,10/00003675,,,(M476 Part) 7 Ditchburn Street,"Ditchburn Street, London",E14 9QE,Land At Ditchburn Street,N/A,Residential development site. GLA working with Swan Housing Association,Yes,Land only,Subject to disposal process,FH,0.38,0,,538373,180690
94,Newham,10/00003197,,,3 & 4 Liverpool Road,"Manor Road Industrial Estate, Manor Road",E16 4PA,Manor Road Retail Park,N/A,Future development site,Yes,Land & buildings,Subject to disposal process,FH,1.92,0,,539318,181663
95,Newham,04/034,34,4,"Carlsberg Tetley Site,  Canning Town","Silvertown Industrial Park, Dock Road, North Woolwich Road, Silvertown, London",E16 2AB,,N/A,Major regeneration site adjacent to Thames Wharf and Dock Road. Currently industrial investment. Jointly owned with Quintain,Yes,Land & buildings,Subject to disposal process,FH,5.77,0,,539946,180336
96,Newham,08/014/0002,,,Pontoon Dock,"Barrier Point Road, London",E16 2HP,,N/A,"Existing car park for Thames Barrier Park. GLA working with Bouygues Development for housing scheme, under construction.",Yes,,Subject to disposal process,FH,0.69,0,,541311,180086
97,Newham,04/033/0001,,,"Thames Wharf and Dock Road, Canning Town","Dock Road, Canning Town, London",E16 1AF,Infrastructure,N/A,Major regeneration site impacted by proposed Silvertown Tunnel. Currently industrial investment.,Yes,Land only,Subject to disposal process,FH,3.22,0,,539596,180796
98,Newham,04/033/0002,,,"Thames Wharf and Dock Road, Canning Town","Dock Road, Canning Town, London",E16 1AF,Plot 2,N/A,Major regeneration site impacted by proposed Silvertown Tunnel. Currently industrial investment.,Yes,Land & buildings,Subject to disposal process,FH,1.36,0,,539846,180590
99,Newham,04/033/0003,,,"Thames Wharf and Dock Road, Canning Town","Dock Road, Canning Town, London",E16 1AF,Plot 3,N/A,Major regeneration site impacted by proposed Silvertown Tunnel. Currently industrial investment.,Yes,Land & buildings,Subject to disposal process,FH,0.37,0,,539701,180580
100,Newham,04/033/0004,,,"Thames Wharf and Dock Road, Canning Town","Dock Road, Canning Town, London",E16 1AF,Plot 4,N/A,Major regeneration site impacted by proposed Silvertown Tunnel. Currently industrial investment.,Yes,Land & buildings,Subject to disposal process,FH,0.37,0,,539735,180529
101,Newham,04/033/0005,,,"Thames Wharf and Dock Road, Canning Town","Dock Road, Canning Town, London",E16 1AF,Plot 5,N/A,Major regeneration site impacted by proposed Silvertown Tunnel. Currently industrial investment.,Yes,Land & buildings,Subject to disposal process,FH,0.46,0,,539819,180464
102,Newham,04/033/0006,,,"Thames Wharf and Dock Road, Canning Town","Dock Road, Canning Town, London",E16 1AF,Plot 6 - Vacant Plot,N/A,Major regeneration site impacted by proposed Silvertown Tunnel. Currently industrial investment.,Yes,Land only,Subject to disposal process,FH,0.83,0,,539720,180749
103,Newham,04/033/0007,,,"Thames Wharf and Dock Road, Canning Town","Dock Road, Canning Town, London",E16 1AF,Plot 7,N/A,Major regeneration site impacted by proposed Silvertown Tunnel. Currently industrial investment.,Yes,Land & buildings,Subject to disposal process,FH,0.34,0,,539861,180668
104,Newham,04/033/0008,,,"Thames Wharf and Dock Road, Canning Town","Dock Road, Canning Town, London",E16 1AF,Plot 8,N/A,Major regeneration site impacted by proposed Silvertown Tunnel. Currently industrial investment.,Yes,Land & buildings,Subject to disposal process,LLH,0.06,0,,539901,180612
105,Newham,04/033/0009,,,"Thames Wharf and Dock Road, Canning Town","Dock Road, Canning Town, London",E16 1AF,Plot 9,N/A,Major regeneration site impacted by proposed Silvertown Tunnel. Currently industrial investment.,Yes,Land only,Subject to disposal process,FH,0.48,0,,539601,180665
106,Newham,08/001,1,8,Royal Docks Waterways,,E16 2QU,,N/A,Dockbed and water in the Royal Docks. Water let to RoDMA,No,Land only,Limited marketability,FH,96.64,0,,542249,180639
107,Newham,08/005/0005,,,Royals Business Park,"Royal Albert Way, London",E16 2QT,Hotel Site (Plot 1),N/A,Major commercial regeneration site. Part developed. Reversionary interest.,No,Land only,Subject to disposal process,FH,0.79,0,,541727,180815
108,Newham,08/005/0006,,,Royals Business Park,"Royal Albert Way, London",E16 2QT,Hotel Site (Plot 2),N/A,Major commercial regeneration site. Part developed. Reversionary interest.,Yes,Land & buildings,Subject to disposal process,FH,0.49,0,,541811,180834
109,Newham,08/005/0007,,,Royals Business Park,"Royal Albert Way, London",E16 2QD,Hotel Site (Plot 3),N/A,Major commercial regeneration site. Part developed. Reversionary interest.,Yes,Land & buildings,Subject to disposal process,FH,0.59,0,,541885,180833
110,Newham,08/006,6,8,Regatta Centre,"Dockside Road, London",E16 2QT,,N/A,Reversionary interest in charitable/sporting facility.,Yes,Land & buildings,Limited marketability,FH,1.58,0,,541811,180747
111,Newham,08/010,10,8,Charles Street,"North Woolwich Road, London",E16 2BY,,N/A,Major commercial regeneration scheme. Part of Silvertown Quays. GLA working with the Silvertown Partnership.,Yes - part only,Land & buildings,Subject to disposal process,FH,4.89,0,,541501,180241
112,Newham,08/016,16,8,Silvertown Quays,"Connaught Bridge, North Woolwich Road, London",E16 2BY,,N/A,Major commercial regeneration scheme. GLA working with the Silvertown Partnership.,No,Land & buildings,Subject to disposal process,FH,16.24,0,,541269,180241
113,Newham,08/017,17,8,Thames Barrier Park East,"Barrier Point Road, London",E16 2HP,,N/A,Residential development. Development Agreement in place with Barratt Homes. Complete,Yes,Land & buildings,Subject to disposal process,FH,2.43,0,,541446,180079
114,Newham,08/045,45,8,"Floating Village, Royal Docks Waterway",,E161AB,,N/A,Project is on hold until further notice.,No,Land only,Limited marketability,FH,5,0,,540419,180605
115,Havering,03/001,1,3,1-3 Salamons Way,"1-3 Salamons Way, Dagenham",RM13 9UL,,N/A,"Industrial buildings and yard. Forms part of East Plus, a partnership between the GLA and Segro.",No,Land & buildings,Subject to disposal process,FH,0.5,2280,,551369,181389
116,Havering,03/005,5,3,Beam Reach 6,"Courier Way, Courier Road, Rainham, Essex",RM13 8UH,,N/A,"Major regeneration site. Undeveloped. Forms part of East Plus, a partnership between the GLA and Segro.",No,Land only,Subject to disposal process,FH,9.36,0,,550444,182115
117,Havering,03/008/0006,,,Beam Reach 5,"Consul Avenue, Rainham, Essex",RM13 8GT,Plot 6,N/A,"Major regeneration site. Part developed Forms part of East Plus, a partnership between the GLA and Segro.",No,Land only,Subject to disposal process,FH,0.88,0,,550731,182494
118,Havering,03/008/0007,,,Beam Reach 5,"Consul Avenue, Rainham, Essex",RM13 8GT,Plot 7,N/A,Major regeneration site. Part developed. Reversionary interest in industrial property.,No,Land & buildings,Subject to disposal process,FH,1.29,0,,550744,182635
119,Havering,03/008/0008,,,Beam Reach 5,"Consul Avenue, Rainham, Essex",RM13 8GT,Plot 8,N/A,"Major regeneration site. Part developed. Forms part of East Plus, a partnership between the GLA and Segro.",No,Land only,Subject to disposal process,FH,0.68,0,,550858,182603
